epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
101,1767.76,1.48152,1.11867,1.09435,0.00404,0.82587,0.91206,0.8784,0.41084,1.44755,1.15217,1.04166,0.00079,0.00134,0.00134,0.00134
102,1801.01,1.4787,1.12437,1.08539,0.00288,0.80671,0.89423,0.87374,0.42495,1.41118,1.12931,1.05205,0.00076,0.0013334,0.0013334,0.0013334
103,1834.38,1.46031,1.11736,1.09633,0.00358,0.84846,0.85577,0.88624,0.42725,1.44703,1.12323,1.07537,0.00082,0.0013268,0.0013268,0.0013268
104,1859.96,1.46857,1.10756,1.10032,0.0033,0.86652,0.90064,0.90727,0.4366,1.47085,1.1162,1.05391,0.00079,0.0013202,0.0013202,0.0013202
105,1885.3,1.45695,1.11143,1.08362,0.00356,0.8411,0.89915,0.89626,0.42121,1.43769,1.14128,1.06216,0.00069,0.0013136,0.0013136,0.0013136
106,1910.61,1.45586,1.08895,1.1107,0.00305,0.86129,0.89554,0.88433,0.45134,1.42398,1.10551,1.06791,0.00076,0.001307,0.001307,0.001307
107,1935.96,1.46695,1.09081,1.10755,0.00307,0.84464,0.90609,0.88904,0.42796,1.44854,1.115,1.06542,0.00084,0.0013004,0.0013004,0.0013004
108,1961.37,1.49056,1.10936,1.09072,0.00333,0.8565,0.91826,0.91664,0.4454,1.42395,1.10967,1.07352,0.0008,0.0012938,0.0012938,0.0012938
109,1986.39,1.47924,1.09141,1.11344,0.00341,0.85258,0.91346,0.89831,0.44056,1.45339,1.10024,1.06906,0.00079,0.0012872,0.0012872,0.0012872
110,2014.01,1.47339,1.09822,1.10159,0.00347,0.85513,0.92308,0.90439,0.4447,1.3751,1.11721,1.05438,0.00069,0.0012806,0.0012806,0.0012806
111,2047.95,1.47002,1.09857,1.08463,0.00347,0.85753,0.91987,0.8739,0.41901,1.38225,1.11452,1.05213,0.00063,0.001274,0.001274,0.001274
112,2080.34,1.46322,1.10037,1.08292,0.00383,0.8309,0.89103,0.83473,0.40302,1.39606,1.14576,1.04847,0.00066,0.0012674,0.0012674,0.0012674
113,2113.34,1.4788,1.11994,1.08818,0.00353,0.8683,0.91346,0.86194,0.41313,1.42049,1.1438,1.03413,0.00083,0.0012608,0.0012608,0.0012608
114,2146.97,1.45872,1.10262,1.0843,0.00346,0.82992,0.88462,0.8631,0.40949,1.43764,1.12743,1.05254,0.00068,0.0012542,0.0012542,0.0012542
115,2180.15,1.44514,1.08325,1.09106,0.0032,0.87638,0.9359,0.89524,0.4248,1.40828,1.09881,1.04305,0.0007,0.0012476,0.0012476,0.0012476
116,2213.84,1.44022,1.05886,1.08707,0.003,0.84596,0.89769,0.85988,0.41933,1.45425,1.09453,1.04761,0.00075,0.001241,0.001241,0.001241
117,2246.56,1.46454,1.05865,1.08012,0.0026,0.83552,0.89103,0.87759,0.41889,1.41801,1.12784,1.03246,0.00068,0.0012344,0.0012344,0.0012344
118,2280.51,1.48489,1.11746,1.10672,0.00356,0.83832,0.88141,0.89904,0.42947,1.43583,1.12603,1.03785,0.00074,0.0012278,0.0012278,0.0012278
119,2314.06,1.45909,1.12942,1.06546,0.00282,0.8166,0.91987,0.85184,0.39878,1.42128,1.13932,1.04313,0.00071,0.0012212,0.0012212,0.0012212
120,2348.1,1.48314,1.10386,1.10778,0.00332,0.85295,0.89239,0.88028,0.44245,1.41144,1.1052,1.04734,0.00072,0.0012146,0.0012146,0.0012146
121,2381.47,1.46786,1.08135,1.08599,0.00317,0.82152,0.90385,0.86629,0.40973,1.41026,1.13222,1.03356,0.00074,0.001208,0.001208,0.001208
122,2414.44,1.45158,1.076,1.07829,0.00314,0.86516,0.92538,0.90569,0.44151,1.423,1.11269,1.03738,0.00077,0.0012014,0.0012014,0.0012014
123,2448.32,1.43926,1.07317,1.08235,0.00315,0.86331,0.91026,0.88973,0.43072,1.42308,1.09693,1.05537,0.0007,0.0011948,0.0011948,0.0011948
124,2481.53,1.44668,1.06365,1.08875,0.00293,0.83852,0.89103,0.87339,0.42545,1.39931,1.0772,1.04327,0.00066,0.0011882,0.0011882,0.0011882
125,2514.92,1.44043,1.07814,1.0623,0.00334,0.88644,0.90066,0.90007,0.42772,1.43798,1.10406,1.04964,0.0007,0.0011816,0.0011816,0.0011816
126,2547.71,1.44218,1.08024,1.09296,0.00305,0.78363,0.92867,0.8222,0.39486,1.37398,1.14843,1.02821,0.00068,0.001175,0.001175,0.001175
127,2584.03,1.44087,1.06396,1.0633,0.00316,0.83663,0.88632,0.86153,0.41344,1.40596,1.11899,1.03013,0.00069,0.0011684,0.0011684,0.0011684
128,2617.44,1.45308,1.06521,1.07355,0.00343,0.82885,0.91026,0.85507,0.42216,1.40571,1.09196,1.02083,0.00072,0.0011618,0.0011618,0.0011618
129,2650.1,1.42412,1.06983,1.07485,0.00318,0.85417,0.90705,0.89787,0.45733,1.38572,1.06872,1.02708,0.00068,0.0011552,0.0011552,0.0011552
130,2686.23,1.46243,1.07872,1.09109,0.00292,0.86765,0.91667,0.9019,0.44637,1.36385,1.07714,1.0233,0.0007,0.0011486,0.0011486,0.0011486
131,2719.7,1.42673,1.08182,1.09373,0.00348,0.84687,0.87179,0.89202,0.44319,1.3893,1.07672,1.02267,0.00077,0.001142,0.001142,0.001142
132,2754.25,1.39486,1.05332,1.0637,0.00354,0.84691,0.91026,0.88241,0.43035,1.37127,1.0999,1.03543,0.00073,0.0011354,0.0011354,0.0011354
133,2787.63,1.41909,1.02597,1.07519,0.00327,0.85162,0.89744,0.89561,0.44574,1.42183,1.07135,1.02829,0.00074,0.0011288,0.0011288,0.0011288
134,2818.28,1.44783,1.0355,1.05662,0.00328,0.81884,0.91667,0.87589,0.43147,1.4046,1.09172,1.0051,0.00068,0.0011222,0.0011222,0.0011222
135,2848.65,1.41802,1.03957,1.04037,0.00278,0.83173,0.88462,0.85927,0.41776,1.39422,1.11315,1.02669,0.00064,0.0011156,0.0011156,0.0011156
136,2882.39,1.42783,1.04378,1.08682,0.00347,0.87929,0.89744,0.89039,0.44783,1.39624,1.07204,1.00786,0.00069,0.001109,0.001109,0.001109
137,2916.41,1.42466,1.0431,1.06143,0.00343,0.80541,0.90705,0.81552,0.40205,1.37305,1.11429,1.01591,0.00062,0.0011024,0.0011024,0.0011024
138,2949.38,1.41201,1.03249,1.06571,0.00392,0.8576,0.90064,0.89066,0.43235,1.37166,1.08879,1.03736,0.00063,0.0010958,0.0010958,0.0010958
139,2982.24,1.44171,1.02379,1.07199,0.00277,0.87648,0.89423,0.87529,0.4352,1.40606,1.09491,1.05931,0.00065,0.0010892,0.0010892,0.0010892
140,3017.49,1.43056,1.02082,1.08695,0.00281,0.87353,0.90762,0.90167,0.4413,1.42205,1.08304,1.05221,0.00062,0.0010826,0.0010826,0.0010826
141,3051.81,1.43838,1.0086,1.08688,0.00265,0.88486,0.93604,0.91585,0.44674,1.39146,1.04782,1.03769,0.00063,0.001076,0.001076,0.001076
142,3084.22,1.41359,1.01044,1.06522,0.00305,0.87079,0.91026,0.88907,0.44165,1.40622,1.05313,1.03385,0.00059,0.0010694,0.0010694,0.0010694
143,3110.69,1.43919,1.02651,1.06489,0.00295,0.86447,0.88462,0.89263,0.45116,1.37836,1.07221,1.00702,0.00059,0.0010628,0.0010628,0.0010628
144,3144.29,1.40738,1.02847,1.06392,0.00315,0.85287,0.9104,0.88272,0.43102,1.39849,1.06476,1.04268,0.0006,0.0010562,0.0010562,0.0010562
145,3177.41,1.40318,1.02257,1.05704,0.00315,0.88003,0.91667,0.91242,0.46365,1.37685,1.05848,1.02801,0.00064,0.0010496,0.0010496,0.0010496
146,3210.49,1.41614,1.03817,1.07208,0.00283,0.83425,0.90339,0.87244,0.44187,1.38088,1.06212,1.00209,0.00062,0.001043,0.001043,0.001043
147,3244.27,1.41542,1.02259,1.04348,0.00345,0.87173,0.91483,0.90925,0.46168,1.37546,1.07897,1.02067,0.00062,0.0010364,0.0010364,0.0010364
148,3276.96,1.39086,1.02267,1.05276,0.00264,0.84509,0.90925,0.87611,0.45189,1.37447,1.06397,1.03247,0.00063,0.0010298,0.0010298,0.0010298
149,3309.44,1.38944,1.0089,1.05889,0.00247,0.89908,0.91371,0.91807,0.45709,1.39027,1.05886,1.02109,0.00069,0.0010232,0.0010232,0.0010232
150,3342.43,1.39991,1.00379,1.05643,0.00302,0.87316,0.92949,0.90282,0.45461,1.38143,1.04279,1.036,0.00064,0.0010166,0.0010166,0.0010166
151,3379.61,1.4121,1.00829,1.06708,0.00293,0.89396,0.91868,0.92434,0.47649,1.38041,1.01782,1.00537,0.00062,0.00101,0.00101,0.00101
152,3413.42,1.40072,1.00379,1.04453,0.00309,0.85511,0.90794,0.89857,0.46239,1.40926,1.0393,1.02781,0.00071,0.0010034,0.0010034,0.0010034
153,3447.54,1.37522,0.99456,1.06229,0.00354,0.90672,0.91667,0.91493,0.45633,1.38496,1.0468,1.03503,0.00066,0.0009968,0.0009968,0.0009968
154,3480.86,1.38522,0.99289,1.04601,0.00238,0.88726,0.94231,0.91897,0.45995,1.38845,1.05544,1.01908,0.00071,0.0009902,0.0009902,0.0009902
155,3516.76,1.38229,0.98503,1.04484,0.00265,0.86411,0.90064,0.89468,0.45197,1.40387,1.04843,1.0225,0.00068,0.0009836,0.0009836,0.0009836
156,3553.95,1.39935,0.99734,1.05603,0.00396,0.86141,0.91987,0.90681,0.45479,1.40468,1.03696,1.01332,0.00068,0.000977,0.000977,0.000977
157,3590.17,1.40159,1.01266,1.07478,0.00387,0.89178,0.93269,0.91788,0.46995,1.35114,1.01772,1.01019,0.00056,0.0009704,0.0009704,0.0009704
158,3626.91,1.40742,0.99531,1.05197,0.00324,0.88358,0.91987,0.90303,0.46685,1.3618,1.02645,1.02639,0.00066,0.0009638,0.0009638,0.0009638
159,3661.25,1.40022,0.9982,1.04468,0.00299,0.86585,0.93092,0.88247,0.44864,1.3411,1.05569,1.01711,0.00057,0.0009572,0.0009572,0.0009572
160,3686.75,1.36938,0.98836,1.05522,0.00328,0.88154,0.93269,0.91217,0.46267,1.37188,1.02329,1.00157,0.00061,0.0009506,0.0009506,0.0009506
161,3716.16,1.40002,1.01108,1.05478,0.0031,0.86157,0.91762,0.8816,0.45874,1.34724,1.03287,1.01595,0.00062,0.000944,0.000944,0.000944
162,3741.94,1.36065,1.00599,1.04719,0.00348,0.90098,0.93323,0.92271,0.47891,1.34587,1.02204,1.01537,0.00059,0.0009374,0.0009374,0.0009374
